Years of Education after High School,Requested Credit Amount,Number of Dependents,Monthly Income,Monthly Expense,Marital Status,Credit Rating
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
7,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
5,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
5,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Negative
1,Low,More than 2,Very low,Very low,Married,Negative
1,Low,More than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
2,Low,More than 2,Very low,Very low,Married,Positive
1,Medium,More than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
7,Low,No dependent,Very low,Very low,Single,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,More than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
7,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Negative
5,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
5,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Positive
2,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
7,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
2,Medium,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,More than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Negative
7,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Married,Negative
2,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
7,Medium,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Negative
3,Medium,Less than 2,Very low,Very low,Married,Negative
3,Medium,Less than 2,Very low,Very low,Married,Negative
3,Medium,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
4,Medium,Less than 2,Very low,Very low,Married,Positive
2,Medium,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Not specified,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
5,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
0,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,More than 2,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Negative
0,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
4,Low,More than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
7,Low,Less than 2,Very low,Very low,Not specified,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
2,Medium,No dependent,Very low,Very low,Single,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
0,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Negative
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
7,Medium,Less than 2,Very low,Very low,Married,Positive
5,Medium,No dependent,Very low,Very low,Single,Positive
2,Medium,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Negative
5,Medium,Less than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
6,Medium,No dependent,Very low,Very low,Single,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
4,Medium,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
1,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
0,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
5,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
5,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
5,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
4,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
4,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Negative
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
7,Medium,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
5,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,More than 2,Very low,Very low,Married,Negative
2,Low,More than 2,Very low,Very low,Married,Positive
2,Low,More than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
4,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
7,Low,Less than 2,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
5,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
1,Low,More than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Negative
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
4,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
2,Medium,Less than 2,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,Less than 2,Very low,Very low,Married,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
0,Medium,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Negative
1,Low,No dependent,Very low,Very low,Single,Positive
7,Low,Less than 2,Very low,Very low,Married,Positive
1,Medium,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Medium,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
0,Low,No dependent,Very low,Very low,Married,Positive
2,Medium,No dependent,Very low,Very low,Married,Negative
5,Low,No dependent,Very low,Very low,Married,Positive
5,Medium,Less than 2,Very low,Very low,Married,Positive
5,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Negative
2,Medium,Less than 2,Very low,Very low,Married,Positive
6,Medium,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Married,Negative
1,Low,Less than 2,Very low,Very low,Not specified,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
0,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
3,Low,More than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
2,Low,More than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
0,Low,No dependent,Very low,Very low,Single,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
4,Medium,Less than 2,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
7,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
0,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,More than 2,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
1,Low,Less than 2,Very low,Very low,Married,Positive
1,Low,More than 2,Very low,Very low,Married,Positive
6,Low,Less than 2,Very low,Very low,Married,Positive
5,Medium,No dependent,Very low,Very low,Married,Positive
2,Low,Less than 2,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Single,Negative
3,Low,More than 2,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Not specified,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
7,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Medium,No dependent,Very low,Very low,Not specified,Positive
3,Medium,No dependent,Very low,Very low,Not specified,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
0,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Not specified,Negative
3,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Negative
5,Low,No dependent,Very low,Very low,Married,Positive
3,Medium,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Positive
5,Low,No dependent,Very low,Very low,Single,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
5,Medium,No dependent,Very low,Very low,Single,Negative
3,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Married,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Single,Positive
7,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
2,Low,No dependent,Very low,Very low,Married,Positive
4,Medium,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Negative
1,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Married,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Negative
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
3,Low,No dependent,Very low,Very low,Single,Positive
2,Low,No dependent,Very low,Very low,Single,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
1,Low,No dependent,Very low,Very low,Married,Positive
